fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat
11,UNGUJA URBAN WEST,39.213159001108011,Migombani Jeshini (Rais),30.100000000000001,6.370000000000000,1339.000000000000000,670.000000000000000,0.590000000000000,0.670000000000000,false,35.799999999999997,0.022000000000000,0.000000000000000,2.42,0.330000000000000,5.300000000000000,120.530000000000001,,0.000000000000000,false,47.200000000000003,23.590000000000000,215,25,0,-6.190
12,UNGUJA URBAN WEST,39.211622155891909,Migombani Jeshini (Turkey),29.600000000000001,6.210000000000000,829.000000000000000,415.000000000000000,1.040000000000000,0.410000000000000,false,39.000000000000000,0.018000000000000,0.000000000000000,4.8,0.250000000000000,3.600000000000000,329.680000000000007,,0.030000000000000,false,51.200000000000003,9.480000000000000,167,0,0,-6.190
13,UNGUJA URBAN WEST,39.212615452810745,Kaburi kikombe (Rais),31.899999999999999,6.180000000000000,1114.000000000000000,557.000000000000000,0.570000000000000,0.560000000000000,false,59.899999999999999,0.009000000000000,0.000000000000000,8.97,0.250000000000000,8.000000000000000,184.340000000000003,,0.000000000000000,false,73.200000000000003,2.670000000000000,194,50,10,-6.187
14,UNGUJA URBAN WEST,39.204684237674179,Mnara wa Mbao,30.699999999999999,6.170000000000000,1142.000000000000000,571.000000000000000,1.700000000000000,0.570000000000000,false,47.600000000000001,0.108000000000000,0.000000000000000,4.08,0.290000000000000,4.900000000000000,236.090000000000003,,0.170000000000000,false,72.400000000000006,8.750000000000000,217,30,0,-6.181
15,UNGUJA URBAN WEST,39.238559199907179,Kizimbani Nusery,29.500000000000000,6.420000000000000,565.000000000000000,282.000000000000000,3.930000000000000,0.280000000000000,false,6.400000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,7.800000000000000,13.470000000000001,,0.360000000000000,false,,,130,3,0,-6.191
16,UNGUJA URBAN WEST,39.234043841514904,Selem 1,29.600000000000001,7.720000000000000,421.000000000000000,210.000000000000000,0.700000000000000,0.210000000000000,false,90.599999999999994,0.005000000000000,0.000000000000000,4.74,0.000000000000000,2.700000000000000,14.900000000000000,,0.080000000000000,false,,,101,Numerous,0,-6.034
17,UNGUJA URBAN WEST,39.234038690905557,Selem 2,30.500000000000000,6.870000000000000,552.000000000000000,276.000000000000000,0.300000000000000,0.280000000000000,false,25.399999999999999,0.018000000000000,12.699999999999999,3.65,0.000000000000000,2.000000000000000,13.470000000000001,,0.000000000000000,false,,,138,Numerous,0,-6.044
18,UNGUJA URBAN WEST,39.230890050132054,Welezo Tank,29.300000000000001,6.930000000000000,504.000000000000000,252.000000000000000,0.730000000000000,0.250000000000000,false,9.000000000000000,0.020000000000000,12.199999999999999,0.99,0.000000000000000,2.800000000000000,17.699999999999999,,0.000000000000000,false,,,117,0,0,-6.155
19,UNGUJA URBAN WEST,39.258483361004487,Kwa Mzee Juma,30.000000000000000,6.630000000000000,554.000000000000000,281.000000000000000,0.720000000000000,0.280000000000000,false,42.100000000000001,0.022000000000000,0.010000000000000,4.82,0.000000000000000,2.200000000000000,19.140000000000001,,0.000000000000000,false,,,126,26,0,-6.140
20,UNGUJA URBAN WEST,39.212972468430664,Mbweni (Baraza lawawakilishi),31.100000000000001,6.600000000000000,978.000000000000000,483.000000000000000,0.270000000000000,0.490000000000000,false,65.599999999999994,0.003000000000000,0.000000000000000,,0.200000000000000,5.600000000000000,126.200000000000003,,0.000000000000000,false,,,136,0,0,-6.221
