decay_rate,efio,rmse_log,bias_log,correlation
0.001,10000000.0,5.2017042611971105,3.1188101438663303,0.10256685687823673
0.001,50000000.0,6.443312639661938,4.28394489380819,0.10256685687823676
0.001,100000000.0,6.992824105870769,4.785838997357767,0.10256685687823675
0.001,500000000.0,8.290187399072693,5.951261983976496,0.1025668568782367
0.001,1000000000.0,8.855639410161762,6.453192142277462,0.10256685687823683
0.001,5000000000.0,10.17926392905173,7.618643976729524,0.10256685687823672
0.001,10000000000.0,10.75286469429233,8.120577741261739,0.1025668568782367
0.005,10000000.0,4.987788845001523,2.9127361172187407,0.10475836640735292
0.005,50000000.0,6.2187031344036825,4.077762663149677,0.10475836640735275
0.005,100000000.0,6.765323909730523,4.5796432206689,0.10475836640735275
0.005,500000000.0,8.058123715312094,5.745055367170635,0.10475836640735288
0.005,1000000000.0,8.622216446205224,6.2469841702510855,0.10475836640735285
0.005,5000000000.0,9.943535761270642,7.412434920493782,0.10475836640735285
0.005,10000000000.0,10.516402393468473,7.914368549497768,0.10475836640735285
0.01,10000000.0,4.730305781169709,2.6602331846916774,0.10785472487423484
0.01,50000000.0,5.946060836789151,3.8250705426880263,0.10785472487423489
0.01,100000000.0,6.488639184230196,4.326927399784331,0.10785472487423489
0.01,500000000.0,7.775119245388429,5.492320577609161,0.1078547248742348
0.01,1000000000.0,8.337346024899894,5.994247009083477,0.1078547248742348
0.01,5000000000.0,9.655519799250179,7.159695861957793,0.107854724874235
0.01,10000000000.0,10.227389852701561,7.661629253785513,0.107854724874235
0.02,10000000.0,4.251642301787681,2.1731250327699065,0.11531175813898646
0.02,50000000.0,5.429868059720108,3.3372907968788605,0.11531175813898639
0.02,100000000.0,5.962661190780355,3.839063338971681,0.11531175813898639
0.02,500000000.0,7.234099301257984,5.004389005838743,0.11531175813898638
0.02,1000000000.0,7.791952469598678,5.506306994753366,0.11531175813898638
0.02,5000000000.0,9.102830186864946,6.6717490929890975,0.11531175813898643
0.02,10000000000.0,9.672409475610742,7.173681640450062,0.11531175813898643
0.03,10000000.0,3.8271089264696903,1.7110391801782534,0.12442626706460255
0.03,50000000.0,4.9556307877482695,2.8737927974237376,0.12442626706460269
0.03,100000000.0,5.475794721546195,3.375386991357652,0.12442626706460269
0.03,500000000.0,6.728239111240706,4.5405696816723395,0.12442626706460269
0.03,1000000000.0,7.280682167119433,5.042469779826207,0.12442626706460269
0.03,5000000000.0,8.582661538230143,6.207897562457261,0.1244262670646027
0.03,10000000000.0,9.149481012897263,6.70982832028032,0.1244262670646027
0.05,10000000.0,3.1662593790131233,0.8645321138197445,0.1469286207978008
0.05,50000000.0,4.145396412461237,2.0181921894964607,0.14692862079780084
0.05,100000000.0,4.628079187264488,2.5185933863757772,0.14692862079780084
0.05,500000000.0,5.825706115275193,3.682811750855682,0.14692862079780078
0.05,1000000000.0,6.363002717392771,4.184590675061445,0.14692862079780078
0.05,5000000000.0,7.640613257643785,5.34992141614028,0.1469286207978008
0.05,10000000000.0,8.200019739387743,5.851840037356442,0.1469286207978008
