toilet_id,toilet_lat,toilet_long,borehole_id,borehole_type,distance_m,surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
27459,-5.874677000000006,39.261007,privbh_13981,private,4.469546556492508,12742917465.626753,2000.0,6371458.732813376
27607,-5.874179,39.270403,privbh_13962,private,6.454861115664902,101741150899.0674,2000.0,50870575.4495337
27663,-5.875972,39.270717,privbh_13961,private,2.535424294818302,102140701407.09238,2000.0,51070350.70354619
27800,-5.879790999999996,39.273711,privbh_13957,private,9.609536137142443,12677587045.299225,2000.0,6338793.522649612
27805,-5.879268999999996,39.273468,privbh_13954,private,2.3955324658947705,102154991056.099,2000.0,51077495.5280495
27901,-5.881827000000002,39.268165,privbh_13970,private,7.411849505784008,12705479046.579603,2000.0,6352739.523289802
27366,-5.876470999999998,39.258544,privbh_13983,private,7.1950004669530685,12708234516.248419,2000.0,6354117.258124209
27298,-5.875792000000008,39.258743,privbh_13982,private,1.9078047057769432,12775603379.159811,2000.0,6387801.689579906
28221,-5.890479999999994,39.25297200000001,privbh_13892,private,9.96890583947522,12673031923.151926,2000.0,6336515.961575963
28553,-5.889286999999998,39.253666,privbh_13896,private,5.971925330619327,12723787150.993587,2000.0,6361893.575496794
28552,-5.889221000000006,39.253687,privbh_13896,private,5.8233995187257515,12725677102.160343,2000.0,6362838.551080172
9350,-5.876517000000004,39.281706,privbh_14428,private,6.742681316437627,12713983994.290846,2000.0,6356991.997145423
9352,-5.876504999999996,39.281681,privbh_14428,private,6.345940803201088,12719029147.568195,2000.0,6359514.573784098
9349,-5.876494999999998,39.281743,privbh_14428,private,5.51806163407458,12729563326.763075,2000.0,6364781.663381537
9367,-5.876024999999996,39.281545,privbh_14441,private,9.382207001018315,12680469357.814766,2000.0,6340234.678907383
9371,-5.875901999999992,39.281544,privbh_14441,private,5.0778124870854615,12735168739.95788,2000.0,6367584.36997894
9370,-5.875854999999998,39.281512,privbh_14441,private,9.899796218473504,12673907781.849861,2000.0,6336953.890924931
8921,-5.877237000000004,39.283443,privbh_14433,private,2.9968118833451616,12761698228.160982,2000.0,6380849.1140804915
8990,-5.876856000000008,39.28401,privbh_14447,private,7.379739910495772,101647096167.35715,2000.0,50823548.08367857
14791,-5.877301999999998,39.289424,privbh_15805,private,9.447919463402153,12679636120.326426,2000.0,6339818.060163213
8960,-5.877326999999994,39.285008,privbh_14452,private,9.657281028081872,126769817697.37897,2000.0,63384908.84868948
9138,-5.880118999999992,39.28191000000001,privbh_14432,private,7.6945981294901955,101615096781.59111,2000.0,50807548.39079556
9166,-5.880486000000006,39.282884,privbh_14446,private,6.900335239701616,12711979742.827034,2000.0,6355989.871413517
9424,-5.877600999999996,39.282868,privbh_14443,private,7.557065826907878,12703634137.613031,2000.0,6351817.068806516
9244,-5.879134000000004,39.280875,privbh_14421,private,6.667448240139323,101719524339.20258,2000.0,50859762.16960129
9243,-5.879237999999996,39.28089,privbh_14421,private,6.2559245567376776,101761392946.90347,2000.0,50880696.47345173
9263,-5.878774000000002,39.280987,privbh_14439,private,4.481687260100125,12742762758.581833,2000.0,6371381.379290916
9216,-5.879362000000004,39.28198,privbh_14445,private,9.75372002776523,101406074185.96909,2000.0,50703037.09298454
9226,-5.879314000000002,39.282113,privbh_14445,private,7.663987415839496,101618207339.82924,2000.0,50809103.66991462
9699,-5.878162000000004,39.275756,privbh_14194,private,5.985087773584304,12723619675.973108,2000.0,6361809.837986554
9711,-5.877269000000002,39.276936,privbh_14204,private,9.5798741062075,12677963093.855497,2000.0,6338981.546927748
9521,-5.878886000000006,39.280069,privbh_14425,private,5.68234413967375,12727472253.972614,2000.0,6363736.126986307
14938,-5.880494999999996,39.292674,privbh_11169,private,8.032188495992761,101580798293.57173,2000.0,50790399.14678586
17609,-5.889943000000006,39.290047,privbh_11173,private,0.39715830078001163,102359339064.94853,2000.0,51179669.532474265
16105,-5.872469,39.291978,privbh_15802,private,9.864818395719942,101394808762.423,2000.0,50697404.381211504
16195,-5.874359999999996,39.291605,privbh_15639,private,8.14308050819425,101569534418.99632,2000.0,50784767.20949816
16352,-5.875048000000004,39.29010100000001,privbh_15803,private,8.585109190413611,12690580961.610563,2000.0,6345290.480805282
16650,-5.871003999999992,39.286846,privbh_15854,private,8.989601221552748,12685448760.778212,2000.0,6342724.3803891055
16817,-5.870448000000006,39.287047,privbh_15855,private,8.533042499263171,101529933882.97612,2000.0,50764966.94148806
16817,-5.870448000000006,39.287047,privbh_15856,private,8.524926323317791,101530757921.12726,2000.0,50765378.96056363
16817,-5.870448000000006,39.287047,privbh_15857,private,8.926542709286608,101489989692.20865,2000.0,50744994.846104324
16507,-5.872248,39.28939,privbh_15866,private,7.453757393327599,127049465979.49512,2000.0,63524732.98974756
16509,-5.872398000000002,39.288874,privbh_15865,private,8.177077530352559,126957601769.9754,2000.0,63478800.884987704
16718,-5.868721,39.289038,privbh_15860,private,5.214299451789838,101867445392.36748,2000.0,50933722.69618374
16718,-5.868721,39.289038,privbh_15861,private,8.253007155478183,101558369834.26538,2000.0,50779184.91713269
16720,-5.868648999999998,39.289052,privbh_15860,private,5.665679560613483,101821474829.66,2000.0,50910737.41483
16720,-5.868648999999998,39.289052,privbh_15861,private,4.417931706286811,101948601651.01901,2000.0,50974300.8255095
9863,-5.862235999999998,39.282953000000006,privbh_15149,private,4.394536757758374,12743873345.150852,2000.0,6371936.672575426
9995,-5.863400000000008,39.283792,privbh_15151,private,5.375107304318654,12731383203.033037,2000.0,6365691.601516519
10181,-5.864559000000004,39.285837,privbh_15154,private,8.498704433001713,126916775355.53891,2000.0,63458387.67776945
10117,-5.864480999999994,39.285833,privbh_15154,private,7.982832988140938,12698226498.648151,2000.0,6349113.249324076
10219,-5.865273000000006,39.286341,privbh_15160,private,1.9028229876480742,102205336190.18643,2000.0,51102668.09509321
10282,-5.865366999999994,39.286366,privbh_15160,private,9.663535291914252,101415219878.37798,2000.0,50707609.93918899
10211,-5.866293999999996,39.28611700000001,privbh_15159,private,7.756781828079747,12701097271.937483,2000.0,6350548.635968741
16793,-5.867407000000004,39.287207,privbh_15158,private,7.4741409128993705,101637501032.48984,2000.0,50818750.51624492
10432,-5.868113999999992,39.284897,privbh_15164,private,8.00673200691079,12697923027.121067,2000.0,6348961.5135605335
10433,-5.867978999999992,39.284842,privbh_15164,private,9.142105590711822,12683514321.926386,2000.0,6341757.160963193
10528,-5.864688999999994,39.277086,privbh_14842,private,3.1297750092830747,127600015056.75554,2000.0,63800007.52837777
10529,-5.864649999999992,39.277122,privbh_14842,private,2.759431347742751,127647279665.0781,2000.0,63823639.832539044
9904,-5.865100999999998,39.282472,privbh_15143,private,8.650070116641754,101518052771.94382,2000.0,50759026.38597191
9813,-5.863992000000002,39.281256,privbh_15145,private,7.334594013719895,101651685220.25597,2000.0,50825842.610127985
9810,-5.863659999999992,39.280912,privbh_15146,private,6.411439587461399,101745568751.23488,2000.0,50872784.37561744
9826,-5.864340000000002,39.282676,privbh_15144,private,8.72822270901536,101510119182.96628,2000.0,50755059.59148314
9886,-5.863499000000006,39.282041,privbh_15148,private,6.100514132083093,101777208957.14938,2000.0,50888604.47857469
11004,-5.874242,39.287008,privbh_14794,private,7.363794072186884,12706089628.55502,2000.0,6353044.814277509
10709,-5.871752000000004,39.282532,privbh_14799,private,7.687703487704774,101615797383.69861,2000.0,50807898.691849306
10696,-5.871718,39.282513,privbh_14799,private,8.70651967056121,101512322284.89331,2000.0,50756161.14244665
10845,-5.873119000000006,39.280468,privbh_14864,private,7.84206015947301,101600113517.9012,2000.0,50800056.7589506
10863,-5.872924999999994,39.2805,privbh_14862,private,5.898164059301648,101797805666.5919,2000.0,50898902.83329595
10858,-5.873007000000004,39.280594,privbh_14862,private,7.96494303859077,126984536713.1164,2000.0,63492268.356558196
10844,-5.873192999999992,39.280945,privbh_14863,private,9.136657789821312,126835834193.75221,2000.0,63417917.09687611
11084,-5.873560000000006,39.276256,privbh_14789,private,6.339500525842717,12719111061.90741,2000.0,6359555.530953704
11139,-5.872098999999994,39.275795,privbh_14786,private,8.308166396154581,101552768106.19595,2000.0,50776384.05309798
11332,-5.868881999999996,39.275122,privbh_14857,private,3.993485251885544,101991882558.08495,2000.0,50995941.279042475
