borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_039,private,12672792259.158693,2000.0,6336396.129579347
privbh_040,private,101603871366.23756,2000.0,50801935.68311878
privbh_043,private,292477395430.99725,2000.0,146238697.71549863
privbh_046,private,114657894241.76686,2000.0,57328947.12088343
privbh_047,private,139689727737.67493,2000.0,69844863.86883746
privbh_048,private,203419449618.85547,2000.0,101709724.80942774
privbh_051,private,139929497448.9364,2000.0,69964748.7244682
privbh_052,private,12705421795.229095,2000.0,6352710.897614548
privbh_055,private,139590738004.86856,2000.0,69795369.00243428
privbh_056,private,229265264302.91705,2000.0,114632632.15145853
privbh_057,private,25349977721.99276,2000.0,12674988.86099638
privbh_058,private,127184090165.68707,2000.0,63592045.082843535
privbh_061,private,139438927398.50302,2000.0,69719463.69925152
privbh_063,private,12698437781.18348,2000.0,6349218.89059174
privbh_064,private,12772542314.942013,2000.0,6386271.157471007
privbh_065,private,12687144815.664885,2000.0,6343572.407832442
privbh_066,private,25423603573.05809,2000.0,12711801.786529046
privbh_067,private,12684551784.352673,2000.0,6342275.892176337
privbh_068,private,266661477498.86624,2000.0,133330738.74943312
privbh_069,private,140079346705.37744,2000.0,70039673.35268871
privbh_070,private,139807944004.2995,2000.0,69903972.00214975
privbh_071,private,114322489064.42581,2000.0,57161244.532212906
privbh_072,private,25433154779.45137,2000.0,12716577.389725685
privbh_073,private,101464793845.75381,2000.0,50732396.92287691
privbh_074,private,203301459609.4113,2000.0,101650729.80470565
privbh_075,private,101486020586.19437,2000.0,50743010.29309718
privbh_076,private,12683166140.482773,2000.0,6341583.070241386
privbh_077,private,50778506207.545425,2000.0,25389253.10377271
privbh_078,private,25375237912.989346,2000.0,12687618.956494672
privbh_080,private,38106813992.71698,2000.0,19053406.99635849
privbh_081,private,127466947259.2966,2000.0,63733473.6296483
privbh_083,private,203053683457.67017,2000.0,101526841.72883508
privbh_084,private,12740006276.536255,2000.0,6370003.138268127
privbh_085,private,127500584879.13889,2000.0,63750292.43956944
privbh_086,private,101770555085.29062,2000.0,50885277.54264531
privbh_087,private,101978275449.74973,2000.0,50989137.72487486
privbh_088,private,114841624059.16093,2000.0,57420812.02958047
privbh_090,private,25374090157.37769,2000.0,12687045.078688845
privbh_091,private,12692301497.014517,2000.0,6346150.7485072585
privbh_097,private,127310650240.96542,2000.0,63655325.12048271
privbh_098,private,203698422815.90778,2000.0,101849211.40795389
privbh_099,private,127254350134.07698,2000.0,63627175.06703849
privbh_10003,private,38116222320.993385,2000.0,19058111.160496693
privbh_10009,private,12731702448.171028,2000.0,6365851.224085514
privbh_1001,private,101665831373.79521,2000.0,50832915.686897606
privbh_10013,private,25495857808.242928,2000.0,12747928.904121464
privbh_1002,private,101991223730.0265,2000.0,50995611.86501325
privbh_10023,private,38098167811.32943,2000.0,19049083.905664716
privbh_10029,private,12771334475.104593,2000.0,6385667.237552296
privbh_1003,private,12716047706.42526,2000.0,6358023.85321263
privbh_10034,private,12731230320.306168,2000.0,6365615.1601530835
privbh_10037,private,101465149963.82094,2000.0,50732574.98191047
privbh_1004,private,12764675454.978872,2000.0,6382337.727489436
privbh_10043,private,12683716215.973177,2000.0,6341858.107986588
privbh_10047,private,101617791959.96179,2000.0,50808895.97998089
privbh_10050,private,12718634294.807228,2000.0,6359317.147403614
privbh_10054,private,12712725720.25753,2000.0,6356362.860128765
privbh_10061,private,12783249687.229021,2000.0,6391624.84361451
privbh_10064,private,12731750605.490786,2000.0,6365875.302745393
privbh_10067,private,25454864143.72489,2000.0,12727432.071862446
privbh_10074,private,12702039452.079527,2000.0,6351019.726039764
privbh_10075,private,12781149837.901924,2000.0,6390574.918950962
privbh_10077,private,127790156861.45045,2000.0,63895078.430725224
privbh_10080,private,12733416154.780706,2000.0,6366708.077390353
privbh_10083,private,12684043307.860428,2000.0,6342021.653930214
privbh_10084,private,38244626268.54714,2000.0,19122313.13427357
privbh_10088,private,12746371452.602623,2000.0,6373185.7263013115
privbh_1009,private,12743992796.19142,2000.0,6371996.39809571
privbh_10090,private,12759025369.564968,2000.0,6379512.684782484
privbh_10092,private,101785852087.68193,2000.0,50892926.04384097
privbh_10096,private,101851747178.24335,2000.0,50925873.58912168
privbh_10107,private,127140913163.6512,2000.0,63570456.5818256
privbh_10108,private,114412187335.25664,2000.0,57206093.66762832
privbh_1011,private,216306004048.04858,2000.0,108153002.0240243
privbh_10111,private,12714120901.013685,2000.0,6357060.450506843
privbh_10114,private,102130244754.82217,2000.0,51065122.37741109
privbh_10122,private,127261006779.74069,2000.0,63630503.389870346
privbh_10123,private,126758522224.9846,2000.0,63379261.1124923
privbh_10128,private,228999748865.0216,2000.0,114499874.43251081
privbh_10130,private,12706625090.755728,2000.0,6353312.545377864
privbh_10132,private,12722838192.491335,2000.0,6361419.096245668
privbh_10135,private,114306482665.80922,2000.0,57153241.33290461
privbh_10137,private,12705278102.117899,2000.0,6352639.05105895
privbh_10139,private,12681751263.519861,2000.0,6340875.63175993
privbh_10142,private,101434631766.13713,2000.0,50717315.88306857
privbh_1015,private,12672700786.917246,2000.0,6336350.3934586225
privbh_10151,private,12744001128.722523,2000.0,6372000.564361261
privbh_10158,private,12744498750.24006,2000.0,6372249.375120031
privbh_10159,private,25441724633.12014,2000.0,12720862.316560071
privbh_10165,private,12726475824.181171,2000.0,6363237.912090586
privbh_10169,private,12706710913.122416,2000.0,6353355.456561208
privbh_10173,private,12743167938.735903,2000.0,6371583.969367951
privbh_10176,private,12693052175.32486,2000.0,6346526.08766243
privbh_10186,private,38237666863.12326,2000.0,19118833.43156163
privbh_10188,private,25549210810.98462,2000.0,12774605.40549231
privbh_10189,private,140190949129.6389,2000.0,70095474.56481944
privbh_10190,private,12675058303.238432,2000.0,6337529.151619216
privbh_10192,private,12746027074.814594,2000.0,6373013.537407297
privbh_10196,private,12707011301.637888,2000.0,6353505.650818944
privbh_10197,private,152797843262.09067,2000.0,76398921.63104533
privbh_10202,private,12729249236.451338,2000.0,6364624.618225669
privbh_10203,private,38157019864.78775,2000.0,19078509.932393875
privbh_10205,private,12771564324.450405,2000.0,6385782.162225203
privbh_10208,private,127276578552.37532,2000.0,63638289.27618766
privbh_10209,private,12688086742.52445,2000.0,6344043.371262225
privbh_10216,private,12713280861.10588,2000.0,6356640.430552941
privbh_10220,private,12677063164.790411,2000.0,6338531.582395205
privbh_10221,private,12675557215.755077,2000.0,6337778.607877539
privbh_10223,private,12703391912.79607,2000.0,6351695.956398035
privbh_10226,private,12676725147.555784,2000.0,6338362.573777892
privbh_10228,private,12763450047.946926,2000.0,6381725.023973463
privbh_10229,private,12672675351.889853,2000.0,6336337.675944926
privbh_10231,private,12725330309.346302,2000.0,6362665.154673151
privbh_10232,private,12700624225.7488,2000.0,6350312.1128744
privbh_10235,private,25476186315.264275,2000.0,12738093.157632137
privbh_10236,private,12715177795.870861,2000.0,6357588.8979354305
