borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10024,private,164268863324.63205,2000.0,82134431.66231602
privbh_10026,private,201066771604.45166,2000.0,100533385.80222583
privbh_10029,private,37613572716.10718,2000.0,18806786.358053587
privbh_1003,private,264896722117.6983,2000.0,132448361.05884916
privbh_10030,private,63107653601.31032,2000.0,31553826.80065516
privbh_10032,private,12619731982.0206,2000.0,6309865.9910103
privbh_10034,private,12427441521.572344,2000.0,6213720.760786172
privbh_10035,private,125343367270.30086,2000.0,62671683.635150425
privbh_10036,private,214179541477.21942,2000.0,107089770.73860972
privbh_10038,private,114008315265.46849,2000.0,57004157.63273425
privbh_10039,private,25075784123.902065,2000.0,12537892.061951032
privbh_1004,private,212069711603.48758,2000.0,106034855.80174379
privbh_10040,private,62848331907.20024,2000.0,31424165.95360012
privbh_10041,private,12569809615.537338,2000.0,6284904.807768669
privbh_10043,private,25084912939.004433,2000.0,12542456.469502216
privbh_10044,private,25131367061.659416,2000.0,12565683.530829709
privbh_10045,private,124463540694.39471,2000.0,62231770.347197354
privbh_10046,private,125021887725.67477,2000.0,62510943.86283739
privbh_10047,private,124789856571.05774,2000.0,62394928.28552887
privbh_10048,private,101617791959.9618,2000.0,50808895.9799809
privbh_10049,private,12451781281.447754,2000.0,6225890.640723877
privbh_1005,private,237465559065.5318,2000.0,118732779.5327659
privbh_10050,private,113124762582.24893,2000.0,56562381.29112446
privbh_10051,private,25307312228.90598,2000.0,12653656.11445299
privbh_10055,private,226649306332.27103,2000.0,113324653.16613552
privbh_10056,private,552106998056.7295,2000.0,276053499.0283647
privbh_10059,private,113745401084.59596,2000.0,56872700.54229798
privbh_1006,private,374153240823.5683,2000.0,187076620.41178414
privbh_10060,private,1018982108674.0804,2000.0,509491054.33704025
privbh_10062,private,37879690287.119095,2000.0,18939845.14355955
privbh_10064,private,25026572740.502754,2000.0,12513286.370251376
privbh_10065,private,12731750605.490786,2000.0,6365875.302745393
privbh_10067,private,25029305794.76238,2000.0,12514652.89738119
privbh_10068,private,38057386760.80778,2000.0,19028693.380403887
privbh_10069,private,113638692288.15277,2000.0,56819346.144076385
privbh_1007,private,727105017272.2522,2000.0,363552508.6361261
