n_samples,rmse_log,bias_log,correlation,correlation_log,mad,spearman_rho,spearman_log_rho,spearman_p,kendall_rho,kendall_p,efio,ks,radius_g,flow_multiplier
58,3.0993929987704747,-2.707671638764286,0.5654864949466103,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.01,10.0,1.0
58,3.1008860208601297,-2.7127425744600053,0.5654864949466104,0.3428630317216424,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.05,10.0,1.0
58,3.103424290970873,-2.7190749782707866,0.5654864949466102,0.3428630317216423,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.1,10.0,1.0
58,3.1036614566586582,-2.71958545110058,0.5654864949466103,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.01,10.0,1.0
58,3.1062735561182206,-2.724643752931264,0.5654864949466104,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.05,10.0,1.0
58,3.1101981729614514,-2.7309541743674712,0.5654864949466102,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.1,10.0,1.0
58,3.110714935493015,-2.7317060186911877,0.5654864949466103,0.3428630317216424,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.2,10.0,1.0
58,3.120193027753385,-2.743508166312552,0.5654864949466103,0.34286303172164223,0.6310453788302925,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.2,10.0,1.0
58,3.123527810444733,-2.7470411960016854,0.5654864949466106,0.3428630317216424,0.6310453788302925,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,1000000.0,0.01,10.0,1.0
58,3.123527810444733,-2.7470411960016854,0.5654864949466106,0.3428630317216424,0.6310453788302925,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.01,10.0,10.0
58,3.1285934259805215,-2.752000664217876,0.5654864949466104,0.3428630317216423,0.6160718406463164,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,1000000.0,0.05,10.0,1.0
58,3.1285934259805215,-2.752000664217876,0.5654864949466104,0.3428630317216423,0.6160718406463164,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.05,10.0,10.0
58,3.1354838459823795,-2.7581406288544126,0.5654864949466104,0.34286303172164234,0.6160718406463164,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,1000000.0,0.1,10.0,1.0
58,3.1354838459823795,-2.7581406288544126,0.5654864949466104,0.34286303172164234,0.6160718406463164,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.1,10.0,10.0
58,3.1360652311244714,-2.758632403429934,0.5654864949466106,0.3428630317216423,0.6160718406463164,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.01,10.0,10.0
58,3.1420212280615534,-2.763473666133267,0.5654864949466104,0.3428630317216423,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.05,10.0,10.0
58,3.1488688654177097,-2.768660451225638,0.5654864949466103,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.5,10.0,1.0
58,3.1499025906069713,-2.7694132101391773,0.5654864949466104,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.1,10.0,10.0
58,3.1508709276415834,-2.7701117792512253,0.5654864949466104,0.34286303172164223,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,1000000.0,0.2,10.0,1.0
58,3.1508709276415834,-2.7701117792512253,0.5654864949466104,0.34286303172164223,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.2,10.0,10.0
58,3.1645411925236306,-2.7793827820552357,0.5654864949466103,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.5,10.0,1.0
58,3.166654244925695,-2.780730290065861,0.5654864949466104,0.34286303172164234,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,5000000.0,0.2,10.0,10.0
58,3.1714989437105583,-2.7837462995209568,0.5654864949466104,0.3428630317216423,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,1000000.0,0.01,10.0,10.0
58,3.1714989437105583,-2.7837462995209568,0.5654864949466104,0.3428630317216423,0.6531258267231772,0.21791044379916108,0.21791044379916108,0.10033257946144741,0.18206631226104159,0.09993109432936396,10000000.0,0.01,10.0,100.0
