borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_028,private,2000.0,2991108533108.846,149555426.6554423,-6.165634,39.2093612
privbh_029,private,2000.0,2794603390139.374,139730169.5069687,-6.166073,39.2102616
privbh_030,private,285.7142857142857,828368868632.3513,289929104.02132297,-6.1791,39.2190152
privbh_031,private,5000.0,2203658325551.819,44073166.51103638,-6.1621967,39.2103283
privbh_032,private,714.2857142857142,2596684440369.0884,363535821.6516724,-6.1655117,39.2091797
privbh_033,private,714.2857142857142,21529539561483.582,3014135538.607702,-6.1643237,39.2103524
privbh_035,private,2000.0,374884471047.33044,18744223.55236652,-6.1804239,39.2196067
privbh_036,private,2000.0,4463452210280.613,223172610.51403064,-6.1660685,39.2105969
privbh_037,private,1428.5714285714284,296001786455.10205,20720125.051857147,-6.1794872,39.2211261
privbh_039,private,857.1428571428571,813145793355.2327,94867009.22477715,-6.1714454,39.223946
privbh_040,private,1428.5714285714284,370979756952.703,25968582.986689214,-6.1744551,39.2228276
privbh_041,private,571.4285714285714,396583028173.928,69402029.9304374,-6.1749369,39.2228605
privbh_042,private,3000.0,970456867555.0034,32348562.251833446,-6.1752918,39.2222286
privbh_043,private,2000.0,3935323886556.0693,196766194.32780346,-6.1742816,39.2215201
privbh_044,private,1000.0,3829514521052.466,382951452.1052466,-6.1743861,39.2199087
privbh_045,private,5000.0,2272609342372.2246,45452186.84744449,-6.1734456,39.2210056
privbh_046,private,142.85714285714286,1275395211558.6216,892776648.0910351,-6.1752527,39.2212318
privbh_047,private,1142.857142857143,5008731925981.403,438264043.52337277,-6.1726963,39.2225176
privbh_048,private,3000.0,4390754104590.2837,146358470.15300947,-6.1725512,39.2221
privbh_049,private,428.57142857142856,445919722239.9227,104047935.1893153,-6.1746685,39.2231513
privbh_051,private,2000.0,1250756860311.9897,62537843.01559949,-6.1751323,39.2223536
privbh_052,private,2857.142857142857,1517011098025.7915,53095388.430902705,-6.1737979,39.2227113
privbh_053,private,20000.0,1559864736363.9675,7799323.6818198385,-6.1752861,39.2216971
privbh_054,private,5000.0,1082561759968.0468,21651235.199360933,-6.17512,39.2207085
privbh_055,private,2000.0,3753797419156.91,187689870.9578455,-6.1741747,39.2196073
privbh_056,private,1000.0,4081886769553.6772,408188676.9553677,-6.1634547,39.2089486
privbh_057,private,2000.0,4195549591029.7217,209777479.55148607,-6.1641387,39.2089008
privbh_058,private,2000.0,2475424132592.3965,123771206.6296198,-6.1648527,39.2073053
privbh_059,private,857.1428571428571,2817689876632.7236,328730485.6071511,-6.1637927,39.2067816
privbh_060,private,714.2857142857142,3075190675176.202,430526694.52466834,-6.1645967,39.2072855
privbh_061,private,5000.0,1074886793790.7535,21497735.87581507,-6.1618134,39.205268
privbh_062,private,2857.142857142857,3717404113579.7866,130109143.97529253,-6.1640771,39.2058635
privbh_063,private,1428.5714285714284,3511336841828.9014,245793578.9280231,-6.164475,39.2079533
privbh_064,private,5000.0,2635938674854.938,52718773.49709876,-6.1630665,39.2072069
privbh_065,private,1428.5714285714284,729572694166.1853,51070088.59163298,-6.1642375,39.2061832
privbh_066,private,2000.0,2525995693615.815,126299784.68079075,-6.1629215,39.2070773
privbh_067,private,5000.0,3660695142309.6606,73213902.84619322,-6.1725417,39.21767
privbh_068,private,428.57142857142856,7917777136968.155,1847481331.9592361,-6.1718509,39.2188275
privbh_069,private,3000.0,7176039559389.271,239201318.64630905,-6.171831,39.218787
privbh_070,private,2000.0,4332947330252.3135,216647366.51261568,-6.1722387,39.2182156
privbh_071,private,5000.0,3729766011091.769,74595320.22183539,-6.170773,39.2190323
privbh_072,private,2000.0,10380699060751.494,519034953.03757465,-6.1702955,39.219349
privbh_073,private,5000.0,4454990884216.359,89099817.68432719,-6.1699528,39.2181131
privbh_074,private,5000.0,5500734299468.793,110014685.98937586,-6.1708214,39.2201474
privbh_075,private,1000.0,5343060508108.775,534306050.8108775,-6.1717153,39.2202031
privbh_076,private,2000.0,2162834661814.6775,108141733.09073389,-6.1709585,39.2228235
privbh_077,private,2000.0,2611527022473.441,130576351.12367205,-6.1709772,39.2229289
privbh_078,private,2000.0,2518851353182.8013,125942567.65914007,-6.1704425,39.2228511
privbh_079,private,2000.0,1960088135059.5496,98004406.75297748,-6.1705374,39.2212584
privbh_080,private,5000.0,2961308440611.6675,59226168.81223335,-6.17301,39.2178899
privbh_081,private,3000.0,3172766582135.449,105758886.07118164,-6.1733585,39.2180303
privbh_082,private,2000.0,2650364598687.668,132518229.93438339,-6.1734504,39.2189645
privbh_083,private,2000.0,3106227399265.789,155311369.96328944,-6.1732216,39.2188485
privbh_084,private,10000.0,4188769306779.2407,41887693.06779241,-6.1739041,39.218835
privbh_085,private,5000.0,3846441314649.175,76928826.2929835,-6.1727682,39.2194011
privbh_086,private,2000.0,2482949640802.992,124147482.04014961,-6.1716071,39.2194719
privbh_087,private,2142.8571428571427,4570709746093.169,213299788.15101457,-6.1712275,39.2195957
privbh_088,private,5000.0,3245231697267.4473,64904633.94534894,-6.1705961,39.22077
privbh_089,private,2000.0,570067878639.7922,28503393.93198961,-6.1715592,39.2223587
privbh_090,private,2000.0,2809710078231.3203,140485503.91156602,-6.1715562,39.2230429
privbh_091,private,2000.0,739691851628.2787,36984592.58141394,-6.1706195,39.2218724
privbh_092,private,2000.0,358575562422.5293,17928778.121126465,-6.175831,39.2224271
privbh_093,private,2000.0,802089237146.1655,40104461.857308276,-6.1744365,39.2225924
privbh_094,private,2000.0,2333658778710.624,116682938.93553121,-6.1748721,39.2204757
privbh_095,private,5000.0,587441213188.7068,11748824.263774136,-6.1729538,39.2237333
privbh_096,private,857.1428571428571,2302954528123.9663,268678028.2811294,-6.1792436,39.217854
privbh_097,private,1000.0,846538345470.8168,84653834.54708168,-6.1786614,39.21771
privbh_098,private,1000.0,5475162380497.633,547516238.0497633,-6.1769746,39.2181385
privbh_099,private,3000.0,508427212846.084,16947573.761536133,-6.1783338,39.2170141
