borehole_id,borehole_type,lat,long,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL
govbh_000,government,-6.207,39.20721808083558,20000.0,79632315292.73465,398161576.46367323
govbh_001,government,-6.192,39.21976746274253,20000.0,222821016069.15753,1114105080.3457878
govbh_002,government,-6.185,39.221120245281455,20000.0,167574440248.0346,837872201.2401731
govbh_003,government,-6.198,39.23492831477639,20000.0,25802446461.876316,129012232.30938157
govbh_004,government,-6.191,39.23855919990718,20000.0,149924887000.9944,749624435.004972
govbh_005,government,-6.14,39.25848336100449,20000.0,25693033970.94157,128465169.85470785
govbh_006,government,-6.097,39.24991338822579,20000.0,1285712150.7034101,6428560.75351705
govbh_007,government,-6.097,39.24991338822579,20000.0,1285712150.7034101,6428560.75351705
govbh_008,government,-6.043,39.22000219431971,20000.0,304646397.7562733,1523231.9887813667
govbh_009,government,-6.079,39.22273030905357,20000.0,39682364224.09583,198411821.12047917
govbh_012,government,-6.187,39.212615452810745,20000.0,914254346.5690588,4571271.732845294
govbh_013,government,-6.181,39.20468423767418,20000.0,6691962999.635919,33459814.998179592
govbh_014,government,-6.191,39.23855919990718,20000.0,149924887000.9944,749624435.004972
govbh_015,government,-6.034,39.2340438415149,20000.0,50190690832.98,250953454.16490003
govbh_017,government,-6.155,39.23089005013205,20000.0,44050914892.27446,220254574.4613723
govbh_018,government,-6.14,39.25848336100449,20000.0,25693033970.94157,128465169.85470785
govbh_019,government,-6.221,39.21297246843066,20000.0,13448020802.653801,67240104.013269
govbh_020,government,-6.215,39.21526631235909,20000.0,58523452497.99954,292617262.4899977
govbh_021,government,-6.159,39.25057500907302,20000.0,2198596145.847775,10992980.729238875
govbh_023,government,-6.108,39.2521537362482,20000.0,87684085240.14195,438420426.20070976
govbh_025,government,-5.942,39.338682293528656,20000.0,708292018.867204,3541460.0943360194
govbh_026,government,-5.939,39.29900849714256,20000.0,11365179617.567696,56825898.08783848
govbh_027,government,-5.764,39.29989387409769,20000.0,26497540207.370365,132487701.03685182
govbh_028,government,-5.905,39.251307524992434,20000.0,7393154978.152879,36965774.89076439
govbh_029,government,-5.905,39.251235283513054,20000.0,10512139854.521267,52560699.272606336
govbh_030,government,-5.883,39.30479636744616,20000.0,6488592430.30105,32442962.15150525
govbh_031,government,-5.785,39.30395776092973,20000.0,71679719343.25514,358398596.7162757
govbh_032,government,-5.79,39.30660665559544,20000.0,25150103178.179573,125750515.89089786
govbh_033,government,-5.903,39.29449942766601,20000.0,126383695600.43965,631918478.0021982
govbh_036,government,-5.909,39.251101565850064,20000.0,4727211105.859127,23636055.529295634
govbh_037,government,-5.883,39.30479636744616,20000.0,6488592430.30105,32442962.15150525
govbh_039,government,-5.961,39.25262489211156,20000.0,7883891019.316874,39419455.096584365
