ks_per_m,EFIO_override,eff_cat2,eff_cat3,spearman_rho,kendall_tau,rmse_log,n_detections
0.01,500000000.0,0.05,0.2,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.05,0.3,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.05,0.5,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.1,0.2,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.1,0.3,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.1,0.5,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.2,0.2,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.2,0.3,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.01,500000000.0,0.2,0.5,-0.3653289585678534,-0.2604585761747689,3.680760416718066,36
0.03,10000000.0,0.05,0.2,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.05,0.3,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.05,0.5,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.1,0.2,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.1,0.3,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.1,0.5,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.2,0.2,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.2,0.3,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,10000000.0,0.2,0.5,-0.3488372968867795,-0.25081196224237007,1.557181008446885,36
0.03,50000000.0,0.05,0.2,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.05,0.3,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.05,0.5,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.1,0.2,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.1,0.3,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.1,0.5,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.2,0.2,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.2,0.3,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,50000000.0,0.2,0.5,-0.3488372968867795,-0.25081196224237007,2.1839194174685557,36
0.03,100000000.0,0.05,0.2,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.05,0.3,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.05,0.5,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.1,0.2,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.1,0.3,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.1,0.5,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.2,0.2,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.2,0.3,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,100000000.0,0.2,0.5,-0.3488372968867795,-0.25081196224237007,2.4658845030264285,36
0.03,500000000.0,0.05,0.2,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.05,0.3,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.05,0.5,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.1,0.2,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.1,0.3,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.1,0.5,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.2,0.2,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.2,0.3,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.03,500000000.0,0.2,0.5,-0.3488372968867795,-0.25081196224237007,3.1343941162600597,36
0.06,10000000.0,0.05,0.2,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.05,0.3,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.05,0.5,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.1,0.2,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.1,0.3,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.1,0.5,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.2,0.2,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.2,0.3,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,10000000.0,0.2,0.5,-0.2510468967622862,-0.19293227864797696,1.0824451170343334,36
0.06,50000000.0,0.05,0.2,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
