id,lat,long,fio_load
27293,-5.874970000000004,39.259242,76160000000.0
27666,-5.879461000000002,39.274271,76160000000.0
27667,-5.878936000000008,39.274482,76160000000.0
27670,-5.879032999999994,39.273468,76160000000.0
27671,-5.879097999999996,39.273753,76160000000.0
27676,-5.878872000000006,39.27381300000001,76160000000.0
27678,-5.879095000000006,39.274272,76160000000.0
27679,-5.879203000000002,39.274129,76160000000.0
27686,-5.878763000000006,39.27283,76160000000.0
27672,-5.878642999999994,39.273598,76160000000.0
27673,-5.878490000000002,39.273292,76160000000.0
27674,-5.878266,39.273413,76160000000.0
27691,-5.878424999999992,39.272264,76160000000.0
27695,-5.877601000000008,39.273283,76160000000.0
27697,-5.877176,39.271712,76160000000.0
27707,-5.876629000000004,39.271188,76160000000.0
27709,-5.876871000000004,39.271448,76160000000.0
27711,-5.876584000000002,39.271045,76160000000.0
27712,-5.876437,39.270972,76160000000.0
27714,-5.876384999999994,39.271159,76160000000.0
27715,-5.876501000000006,39.271158,76160000000.0
27720,-5.876167000000002,39.271102,76160000000.0
27741,-5.876916,39.267733,76160000000.0
27595,-5.874027000000006,39.265099,76160000000.0
27596,-5.874096000000002,39.265344,76160000000.0
27533,-5.873414,39.262529,76160000000.0
27485,-5.875140999999996,39.259873,76160000000.0
27478,-5.875109000000004,39.260167,76160000000.0
27491,-5.874845999999992,39.259518,76160000000.0
27496,-5.874772,39.259471,76160000000.0
27476,-5.874773999999992,39.260215,76160000000.0
27492,-5.874760999999998,39.259446,76160000000.0
27269,-5.869119999999996,39.266282,76160000000.0
27264,-5.869119999999996,39.266282,76160000000.0
27263,-5.869119999999996,39.266282,76160000000.0
8824,-5.869119999999996,39.266282,76160000000.0
27490,-5.874412000000006,39.25957,76160000000.0
27453,-5.873741999999998,39.260592,76160000000.0
27471,-5.873703000000004,39.260528,76160000000.0
27470,-5.873653999999996,39.26049,76160000000.0
27402,-5.873044,39.2606,76160000000.0
27607,-5.874179,39.270403,76160000000.0
27610,-5.874417999999996,39.270089,76160000000.0
27663,-5.875972,39.270717,76160000000.0
27701,-5.876338000000004,39.270512,76160000000.0
27716,-5.875955999999998,39.270506,76160000000.0
27097,-5.877293000000004,39.259411,76160000000.0
27036,-5.876771000000008,39.259464,76160000000.0
10963,-5.882439000000002,39.274396,76160000000.0
10966,-5.882439000000002,39.274396,76160000000.0
10969,-5.882439000000002,39.274396,76160000000.0
10970,-5.882439000000002,39.274396,76160000000.0
11197,-5.882439000000002,39.274396,76160000000.0
11200,-5.882439000000002,39.274396,76160000000.0
27794,-5.879885000000006,39.274554,76160000000.0
27796,-5.879794999999992,39.273226,76160000000.0
27805,-5.879268999999996,39.273468,76160000000.0
27816,-5.878866000000008,39.272041,76160000000.0
27818,-5.878932999999996,39.271967,76160000000.0
27822,-5.879584000000006,39.27299,76160000000.0
27823,-5.879172999999998,39.273035,76160000000.0
27005,-5.877337000000004,39.261674,76160000000.0
27069,-5.876698000000006,39.261899,76160000000.0
27080,-5.876738000000002,39.260894,76160000000.0
27081,-5.876605999999992,39.261,76160000000.0
27528,-5.878634000000004,39.262377,76160000000.0
27817,-5.878709000000002,39.27141,76160000000.0
9518,-5.87833,39.265515,76160000000.0
9516,-5.87833,39.265515,76160000000.0
9513,-5.87833,39.265515,76160000000.0
9507,-5.87833,39.265515,76160000000.0
9506,-5.87833,39.265515,76160000000.0
9504,-5.87833,39.265515,76160000000.0
9502,-5.87833,39.265515,76160000000.0
9501,-5.87833,39.265515,76160000000.0
9500,-5.87833,39.265515,76160000000.0
9499,-5.87833,39.265515,76160000000.0
9498,-5.87833,39.265515,76160000000.0
