toilet_id,borehole_id,distance_m
27670,privbh_13954,28.274166193593935
27670,privbh_13955,21.689057239847635
27680,privbh_13955,15.525856627415996
27803,privbh_13954,34.59978485605621
27803,privbh_13955,34.66642254530619
27683,privbh_13955,30.39118231680036
27702,privbh_13960,34.98029174250039
27703,privbh_13960,15.492290923684052
27704,privbh_13959,33.00908731670009
27709,privbh_13959,28.482261214095693
27630,privbh_13964,27.874078049919664
27633,privbh_13964,34.00984134842055
27741,privbh_13965,23.715334836987704
27759,privbh_13965,16.95365068646545
27570,privbh_13974,16.842237861111222
27592,privbh_13974,24.065401607622448
27597,privbh_13975,32.195676622029055
27598,privbh_13974,19.106511756847848
27553,privbh_13974,34.51225152814651
27554,privbh_13974,28.361410474132036
27586,privbh_13974,23.631287338313733
27587,privbh_13974,25.263935087953612
27599,privbh_13974,30.448984397575963
27600,privbh_13974,23.71552841025268
27601,privbh_13974,28.226538806524474
27457,privbh_13981,22.583272059119835
27458,privbh_13981,21.078298085606505
27532,privbh_13977,14.861841757409623
27532,privbh_13978,17.17056946565192
27532,privbh_13979,23.871342670009533
27532,privbh_13980,21.167455669399466
27459,privbh_13981,4.469546556492507
27606,privbh_13962,22.997605964037596
27607,privbh_13962,6.454861115664902
27608,privbh_13962,16.87227693912178
27631,privbh_13964,31.307650995518223
27632,privbh_13964,28.528808114401883
27663,privbh_13961,2.535424294818302
27716,privbh_13961,25.94080635994914
27717,privbh_13961,29.918510608557778
27774,privbh_13958,13.744751495946609
27775,privbh_13958,10.337923345308052
27776,privbh_13958,26.63897057834782
27777,privbh_13958,16.186361264782043
27770,privbh_13954,25.972975972613813
27783,privbh_13954,28.38718537290272
27783,privbh_13957,34.338925856842245
27797,privbh_13957,14.7005389754451
27799,privbh_13957,22.08146847627688
27800,privbh_13957,9.609536137142443
27801,privbh_13957,19.478900039194137
27802,privbh_13957,25.195953451764144
27804,privbh_13957,32.21365915491805
27805,privbh_13954,2.3955324658947705
27806,privbh_13954,14.50140147953455
27807,privbh_13954,31.526505676779525
27808,privbh_13954,32.46766851848475
27810,privbh_13956,34.39418543621492
27811,privbh_13954,27.61607366529872
27812,privbh_13956,31.811870206705855
27814,privbh_13957,20.276121570677248
27815,privbh_13957,24.421411638486497
27822,privbh_13956,22.164268811939124
27827,privbh_13968,28.608902911044204
27828,privbh_13968,28.49747112792789
27830,privbh_13968,29.74840557008572
27889,privbh_13969,25.543454216437166
27736,privbh_13967,33.6307992285953
27737,privbh_13967,20.12856644960387
27745,privbh_13967,13.543646128906992
27540,privbh_13975,21.184279781743257
27728,privbh_13971,23.217843481133233
27730,privbh_13973,32.49681860258583
27571,privbh_13975,20.500564074969148
27725,privbh_13972,20.498809358943912
27746,privbh_13964,26.699137818985946
27748,privbh_13966,34.35305116218681
27749,privbh_13966,31.074045537973216
27750,privbh_13966,32.38129456205784
27751,privbh_13966,27.02963956584199
27752,privbh_13966,15.102389928119935
27755,privbh_13966,31.68781443068148
28009,privbh_14190,25.625601841653467
27901,privbh_13970,7.411849505784008
27902,privbh_13970,12.549515934565996
27914,privbh_13970,33.39364639711371
27224,privbh_14198,33.06792416478888
27169,privbh_14198,31.174336675993743
27155,privbh_14189,27.786274332544995
27155,privbh_14198,24.845799487188962
27152,privbh_14189,25.082775551134194
27152,privbh_14198,27.425065896252395
27038,privbh_13985,22.04372224890312
27930,privbh_14189,16.899744174430115
27147,privbh_14189,31.902604123998124
27149,privbh_14189,17.873915800998358
27215,privbh_14189,22.66497762740439
27163,privbh_14189,19.89154354245836
27182,privbh_14188,29.443831612972843
27184,privbh_14188,14.835807921915762
27183,privbh_14188,10.155480445822034
27180,privbh_14188,31.89353467424174
27188,privbh_14188,19.891647157304785
27179,privbh_14188,27.897890978028077
27185,privbh_14188,14.137100257248983
27189,privbh_14188,30.630584154234903
27191,privbh_14188,22.543983547837396
27175,privbh_14188,21.693650825086472
27186,privbh_14188,23.527375743928836
27931,privbh_14198,33.64928851340397
27933,privbh_14189,27.277315807032274
27933,privbh_14198,34.74166451928897
27165,privbh_14189,25.27264386782881
27932,privbh_14198,22.76114859901501
27942,privbh_14191,28.4593002480012
27944,privbh_14191,20.473463779719296
27975,privbh_14191,29.63134980496113
28008,privbh_14191,21.018161258390485
28058,privbh_14191,33.95988119069973
28060,privbh_14191,31.8238980250852
28061,privbh_14191,19.77967440639799
28106,privbh_14201,20.44585793305738
28138,privbh_14201,15.628196714332166
28145,privbh_14201,29.680561317214956
28148,privbh_14201,17.43769986037888
28149,privbh_14201,19.883776651465187
28155,privbh_14201,27.033016446544917
28164,privbh_14201,15.581063525458436
28165,privbh_14201,15.244968902110017
28166,privbh_14201,30.71781147974364
28168,privbh_14201,21.217399592532956
28175,privbh_14201,33.53219466817573
28186,privbh_14201,32.60284307225142
27267,privbh_14197,28.711415192612442
27260,privbh_14197,28.711415192612442
27257,privbh_14197,28.711415192612442
27254,privbh_14197,28.711415192612442
27253,privbh_14197,28.711415192612442
27251,privbh_14197,28.711415192612442
27249,privbh_14197,28.711415192612442
27248,privbh_14197,28.711415192612442
27244,privbh_14197,28.711415192612442
27240,privbh_14197,28.711415192612442
27239,privbh_14197,28.711415192612442
27238,privbh_14197,28.711415192612442
27237,privbh_14197,28.711415192612442
27236,privbh_14197,28.711415192612442
27068,privbh_14197,28.711415192612442
27065,privbh_14197,28.711415192612442
27064,privbh_14197,28.711415192612442
27063,privbh_14197,28.711415192612442
27062,privbh_14197,28.711415192612442
27060,privbh_14197,28.711415192612442
27056,privbh_14197,28.711415192612442
27057,privbh_14197,28.711415192612442
27162,privbh_14197,28.711415192612442
27285,privbh_14197,20.05739592645287
27446,privbh_14197,28.711415192612442
27447,privbh_14197,28.711415192612442
27452,privbh_14197,28.711415192612442
27987,privbh_14192,25.55906343620612
27322,privbh_13983,31.32405322809455
27323,privbh_13983,26.368186366577337
27324,privbh_13983,30.737874588559894
27325,privbh_13983,19.025029772091617
27328,privbh_13983,32.517285355813975
27330,privbh_13984,12.030675485624036
27362,privbh_13984,30.20663222709081
27119,privbh_13985,22.295234170916842
27030,privbh_13985,18.34644540794731
27300,privbh_13982,11.753304097952348
27299,privbh_13982,23.170441088747722
27315,privbh_13983,10.76795156685751
27318,privbh_13983,15.95574723965011
27319,privbh_13983,33.06382525560027
27321,privbh_13983,34.245834145082036
27332,privbh_13984,19.90005930330137
27346,privbh_13982,34.407020480143984
27355,privbh_13983,21.881645799947133
27360,privbh_13983,23.993318406719073
27366,privbh_13983,7.1950004669530685
27320,privbh_13983,20.174726669463983
27326,privbh_13983,27.42664069669204
27312,privbh_13982,23.492100608618646
27295,privbh_13982,27.05246974892089
27343,privbh_13982,10.592060386387802
27298,privbh_13982,1.9078047057769432
27342,privbh_13982,10.108988765718012
27340,privbh_13982,12.196086125697319
27296,privbh_13982,15.601155410417341
27339,privbh_13982,34.10939800205675
27297,privbh_13982,31.92822620823587
27306,privbh_13986,33.047594423956035
27305,privbh_13986,33.851641089341264
27331,privbh_13984,30.42284930720624
27337,privbh_13986,34.11010709679179
27364,privbh_13984,20.95268633677682
27365,privbh_13984,30.831091104120098
27349,privbh_14197,31.570426498923382
27291,privbh_14197,31.570426498923382
27290,privbh_14197,31.570426498923382
27289,privbh_14197,31.570426498923382
27282,privbh_14197,28.711415192612442
27278,privbh_14197,28.711415192612442
27277,privbh_14197,28.711415192612442
27274,privbh_14197,28.711415192612442
27273,privbh_14197,28.711415192612442
27284,privbh_14197,22.621320426593062
28223,privbh_13892,22.028450035721356
28220,privbh_13892,13.556720912918996
28401,privbh_13908,15.720489926443204
28401,privbh_13907,11.102896498238907
28222,privbh_13892,24.87593814070141
28227,privbh_13892,27.79521370433813
28221,privbh_13892,9.96890583947522
28323,privbh_13900,32.58076762047459
28333,privbh_13900,34.530547640559156
28329,privbh_13900,27.290077969215197
28327,privbh_13900,34.94157041980192
28394,privbh_13900,34.35908749021615
28308,privbh_13901,30.35792894189948
28308,privbh_13900,33.05374896272816
28309,privbh_13899,21.692170333131173
28325,privbh_13901,26.981004484955218
28426,privbh_13898,27.84255159963819
28425,privbh_13898,26.071677093534696
28225,privbh_13892,25.040823166854533
28226,privbh_13892,32.558356357688936
28555,privbh_13896,25.120542162968515
28554,privbh_13896,16.36571477753922
28548,privbh_13896,19.1747733102849
28549,privbh_13896,33.41847197821396
28553,privbh_13896,5.971925330619327
28550,privbh_13896,21.939500262779454
